TAMBON_T,AMPHOE_T,CHANGWAT_T,LAT,LONG
เชียงใหม่,โพธิ์ชัย,ร้อยเอ็ด,16.242,103.804
สีมุม,เมืองนครราชสีมา,นครราชสีมา,14.986,102.007
ลำไทร,วังน้อย,พระนครศรีอยุธยา,14.200,100.641
ผักแว่น,จังหาร,ร้อยเอ็ด,16.174,103.535
คูบัว,เมืองราชบุรี,ราชบุรี,13.480,99.822
หนองฉลอง,ขุขันธ์,ศรีสะเกษ,14.684,104.227
เตราะบอน,สายบุรี,ปัตตานี,6.688,101.543
ตะเคียน,ขุขันธ์,ศรีสะเกษ,14.773,104.248
ลำเหย,ดอนตูม,นครปฐม,13.957,100.044
คลองตำหรุ,เมืองชลบุรี,ชลบุรี,13.441,100.982
ไร่ขิง,สามพราน,นครปฐม,13.737,100.283
กำแพงแสน,กำแพงแสน,นครปฐม,14.024,99.981
ท่าทอง,เมืองพิษณุโลก,พิษณุโลก,16.798,100.197
มีนบุรี,มีนบุรี,กรุงเทพมหานคร,13.804,100.723
บางตะเคียน,สองพี่น้อง,สุพรรณบุรี,14.213,100.103
บางแก้ว,บางพลี,สมุทรปราการ,13.642,100.662
ดอนงัว,บรบือ,มหาสารคาม,15.877,103.159
บ้านทาน,บ้านลาด,เพชรบุรี,13.081,99.842
กระโทก,โชคชัย,นครราชสีมา,14.714,102.189
ทรายทอง,ห้วยเม็ก,กาฬสินธุ์,16.740,103.175
หนองทรายขาว,บ้านหมี่,ลพบุรี,14.996,100.597
พันลาน,ชุมแสง,นครสวรรค์,15.833,100.280
บึงนาเรียง,ห้วยเม็ก,กาฬสินธุ์,16.600,103.288
ศาลายา,พุทธมณฑล,นครปฐม,13.813,100.305
ห้วยเกตุ,ตะพานหิน,พิจิตร,16.238,100.399
ควนขนุน,ควนขนุน,พัทลุง,7.756,100.003
สายนาวัง,นาคู,กาฬสินธุ์,16.761,104.063
พิมูล,ห้วยเม็ก,กาฬสินธุ์,16.703,103.181
บัวสลี,แม่ลาว,เชียงราย,19.804,99.768
หัวสำโรง,ท่าวุ้ง,ลพบุรี,14.776,100.494
น้ำอ้อม,กระนวน,ขอนแก่น,16.671,103.127
ท่าเรือ,บ้านนาเดิม,สุราษฎร์ธานี,8.947,99.269
บ้านไร่,ศรีสำโรง,สุโขทัย,17.164,99.764
ชะมาย,ทุ่งสง,นครศรีธรรมราช,8.148,99.673
ทัพทัน,ทัพทัน,อุทัยธานี,15.467,99.888
ทุ่งกระเต็น,หนองกี่,บุรีรัมย์,14.693,102.564
โขมง,ท่าใหม่,จันทบุรี,12.620,101.940
หมูม่น,สมเด็จ,กาฬสินธุ์,16.759,103.679
บ้านเนิน,เชียรใหญ่,นครศรีธรรมราช,8.166,100.170
พลับพลา,เชียงขวัญ,ร้อยเอ็ด,16.135,103.782
ไทรทอง,ไม้แก่น,ปัตตานี,6.604,101.673
บางหลวง,สรรพยา,ชัยนาท,15.143,100.197
หัวไผ่,เมืองสิงห์บุรี,สิงห์บุรี,14.965,100.429
หูล่อง,ปากพนัง,นครศรีธรรมราช,8.314,100.184
กล้วยแพะ,เมืองลำปาง,ลำปาง,18.211,99.502
หนองค้า,พยุห์,ศรีสะเกษ,14.898,104.334
โนนภิบาล,แกดำ,มหาสารคาม,16.022,103.442
โพนทอง,เมืองกาฬสินธุ์,กาฬสินธุ์,16.478,103.548
พานพร้าว,ศรีเชียงใหม่,หนองคาย,17.942,102.594
ตะดอบ,เมืองศรีสะเกษ,ศรีสะเกษ,15.037,104.434
พิมายเหนือ,ปรางค์กู่,ศรีสะเกษ,14.881,104.042
ดอนโพธิ์,เมืองลพบุรี,ลพบุรี,14.691,100.627
วังเหนือ,บ้านด่าน,บุรีรัมย์,15.138,103.219
รามแก้ว,หัวไทร,นครศรีธรรมราช,7.932,100.276
นาเริก,พนัสนิคม,ชลบุรี,13.405,101.248
ศรีษะจรเข้น้อย,บางเสาธง,สมุทรปราการ,13.689,100.799
ชุมพล,องครักษ์,นครนายก,13.990,100.937
ไสหมาก,เชียรใหญ่,นครศรีธรรมราช,8.203,100.163
หนองกุง,ชื่นชม,มหาสารคาม,16.475,103.124
แข้,อุทุมพรพิสัย,ศรีสะเกษ,15.067,104.176
หนองม่วงไข่,หนองม่วงไข่,แพร่,18.295,100.208
โนนตาล,เมืองร้อยเอ็ด,ร้อยเอ็ด,15.969,103.666
เกาะขวาง,เมืองจันทบุรี,จันทบุรี,12.562,102.090
ทวีวัฒนา,ไทรน้อย,นนทบุรี,13.942,100.312
ทุ่งนางโอก,เมืองยโสธร,ยโสธร,15.886,104.147
สีดา,สีดา,นครราชสีมา,15.564,102.588
โนนสะอาด,ชุมแพ,ขอนแก่น,16.576,101.999
ชะรัด,กงหรา,พัทลุง,7.473,99.989
น้ำขาว,จะนะ,สงขลา,6.805,100.609
ดงชน,เมืองสกลนคร,สกลนคร,17.096,104.240
แม่ลาน,แม่ลาน,ปัตตานี,6.647,101.231
หนองไฮ,อุทุมพรพิสัย,ศรีสะเกษ,15.145,104.093
คันนายาว,คันนายาว,กรุงเทพมหานคร,13.821,100.677
หนองแปน,กมลาไสย,กาฬสินธุ์,16.289,103.511
พระธาตุ,เชียงขวัญ,ร้อยเอ็ด,16.160,103.769
สามเมือง,ลาดบัวหลวง,พระนครศรีอยุธยา,14.153,100.297
ท่าใหม่,ท่าใหม่,จันทบุรี,12.628,101.985
วังน้อย,วังน้อย,พระนครศรีอยุธยา,14.201,100.699
ห้วยพระ,ดอนตูม,นครปฐม,13.930,100.084
ประชาพัฒนา,วาปีปทุม,มหาสารคาม,15.816,103.419
โรง,กระแสสินธุ์,สงขลา,7.683,100.338
คลองกระบือ,ปากพนัง,นครศรีธรรมราช,8.317,100.143
หนองปรง,เขาย้อย,เพชรบุรี,13.168,99.801
แหลมบัว,นครชัยศรี,นครปฐม,13.857,100.147
กุดเพียขอม,ชนบท,ขอนแก่น,16.032,102.613
ห้วยเหนือ,ขุขันธ์,ศรีสะเกษ,14.720,104.205
บึงน้ำรักษ์,ธัญบุรี,ปทุมธานี,14.071,100.880
หนองหญ้าไทร,สากเหล็ก,พิจิตร,16.544,100.527
โพนทอง,เชียงยืน,มหาสารคาม,16.372,103.144
จันดี,ฉวาง,นครศรีธรรมราช,8.391,99.554
คลองขวาง,ไทรน้อย,นนทบุรี,14.004,100.306
สระทอง,หนองหงส์,บุรีรัมย์,14.889,102.670
ท่านั่ง,โพทะเล,พิจิตร,15.963,100.276
สมหวัง,กงหรา,พัทลุง,7.509,99.990
นาดี,ยางตลาด,กาฬสินธุ์,16.361,103.474
ท่าฬอ,เมืองพิจิตร,พิจิตร,16.510,100.352
มาบไผ่,บ้านบึง,ชลบุรี,13.359,101.093
เชิงเนิน,เมืองระยอง,ระยอง,12.677,101.318
อำนาจ,ลืออำนาจ,อำนาจเจริญ,15.710,104.668
สายห้วยแก้ว,บ้านหมี่,ลพบุรี,15.095,100.509
เนินงาม,รามัน,ยะลา,6.508,101.347
เชิงแส,กระแสสินธุ์,สงขลา,7.634,100.332
ธาตุพนมเหนือ,ธาตุพนม,นครพนม,16.975,104.667
แป้น,สายบุรี,ปัตตานี,6.747,101.553
ลำปางหลวง,เกาะคา,ลำปาง,18.238,99.387
หัวตะพาน,ท่าศาลา,นครศรีธรรมราช,8.628,99.889
โคกคอน,ท่าบ่อ,หนองคาย,17.781,102.496
บางตะบูน,บ้านแหลม,เพชรบุรี,13.259,99.912
วังโพธิ์,บ้านเหลื่อม,นครราชสีมา,15.571,102.103
พืชอุดม,ลำลูกกา,ปทุมธานี,13.975,100.896
ดอนชะเอม,ท่ามะกา,กาญจนบุรี,13.971,99.807
บางเขียด,สิงหนคร,สงขลา,7.346,100.437
สามง่าม,ดอนตูม,นครปฐม,13.978,100.083
เก่างิ้ว,พล,ขอนแก่น,15.844,102.598
บางซ้าย,บางซ้าย,พระนครศรีอยุธยา,14.314,100.286
ช้างทอง,เฉลิมพระเกียรติ,นครราชสีมา,15.029,102.310
ตำนาน,เมืองพัทลุง,พัทลุง,7.572,100.083
วังชัย,น้ำพอง,ขอนแก่น,16.728,102.862
ยาง,บรบือ,มหาสารคาม,15.919,103.236
ยางซ้าย,เมืองสุโขทัย,สุโขทัย,16.974,99.821
เนินศาลา,โกรกพระ,นครสวรรค์,15.540,99.960
สำโรง,อุทุมพรพิสัย,ศรีสะเกษ,15.146,104.148
ท่าล้อ,ท่าม่วง,กาญจนบุรี,13.987,99.589
สว่างอารมณ์,ดอกคำใต้,พะเยา,19.194,99.982
ศรีสมเด็จ,ศรีสมเด็จ,ร้อยเอ็ด,15.980,103.474
มะกอกเหนือ,ควนขนุน,พัทลุง,7.746,100.073
หัวหิน,ห้วยเม็ก,กาฬสินธุ์,16.602,103.358
โพหัก,บางแพ,ราชบุรี,13.640,100.043
ผึ่งแดด,เมืองมุกดาหาร,มุกดาหาร,16.631,104.476
เชียงคาน,เชียงกลาง,น่าน,19.246,100.855
นาเหลือง,เวียงสา,น่าน,18.679,100.837
ไกรกลาง,กงไกรลาศ,สุโขทัย,16.996,99.997
กล้วยกว้าง,ห้วยทับทัน,ศรีสะเกษ,14.966,104.069
ทุ่งน้าว,สอง,แพร่,18.402,100.200
ตาเซะ,เมืองยะลา,ยะลา,6.620,101.253
สมุด,ปราสาท,สุรินทร์,14.686,103.339
ดอนตูม,บางเลน,นครปฐม,13.999,100.123
ขะยูง,อุทุมพรพิสัย,ศรีสะเกษ,15.126,104.238
ห้วยป่าหวาย,พระพุทธบาท,สระบุรี,14.638,100.830
บ้านแท่น,ชนบท,ขอนแก่น,15.966,102.603
โพนางดำออก,สรรพยา,ชัยนาท,15.120,100.283
หนองเต่า,ตระการพืชผล,อุบลราชธานี,15.725,104.933
เขาขาว,ละงู,สตูล,6.923,99.848
ทุ่งเขาหลวง,ทุ่งเขาหลวง,ร้อยเอ็ด,16.032,103.853
กู่สวนแตง,บ้านใหม่ไชยพจน์,บุรีรัมย์,15.534,102.860
หนองหงส์,ทุ่งสง,นครศรีธรรมราช,8.195,99.614
งิ้วราย,อินทร์บุรี,สิงห์บุรี,14.988,100.389
เนินยาง,คำม่วง,กาฬสินธุ์,16.803,103.655
เกาะลอย,ประจันตคาม,ปราจีนบุรี,14.021,101.515
ด่านเกวียน,โชคชัย,นครราชสีมา,14.864,102.189
ท่าตูม,เมืองมหาสารคาม,มหาสารคาม,16.170,103.460
ดอนศรีชุม,ดอกคำใต้,พะเยา,19.157,100.026
เนินพระปรางค์,สองพี่น้อง,สุพรรณบุรี,14.194,100.048
หนองนาแซง,เมืองชัยภูมิ,ชัยภูมิ,15.742,102.022
บางกระเบา,บ้านสร้าง,ปราจีนบุรี,13.984,101.202
วังพร้าว,เกาะคา,ลำปาง,18.147,99.407
ดอนกำยาน,เมืองสุพรรณบุรี,สุพรรณบุรี,14.454,100.064
ทุ่งศรีเมือง,สุวรรณภูมิ,ร้อยเอ็ด,15.575,103.877
บ้านกร่าง,ศรีประจันต์,สุพรรณบุรี,14.638,100.104
กร่ำ,แกลง,ระยอง,12.668,101.631
บางวัว,บางปะกง,ฉะเชิงเทรา,13.569,100.964
ท่ามะนาว,ชัยบาดาล,ลพบุรี,15.187,101.162
คำเจริญ,ตระการพืชผล,อุบลราชธานี,15.642,105.032
ห้วยข้อง,บ้านลาด,เพชรบุรี,13.035,99.829
เกาะยอ,เมืองสงขลา,สงขลา,7.171,100.517
ท่าพริก,เมืองตราด,ตราด,12.243,102.589
ขอนแก่น,เมืองร้อยเอ็ด,ร้อยเอ็ด,16.025,103.591
สวาย,ปรางค์กู่,ศรีสะเกษ,14.913,103.962
ตาลเตี้ย,เมืองสุโขทัย,สุโขทัย,17.063,99.870
แหลมงอบ,แหลมงอบ,ตราด,12.186,102.419
นาหนาด,ธาตุพนม,นครพนม,16.915,104.654
สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,15.354,100.068
บ้านโต้น,พระยืน,ขอนแก่น,16.274,102.751
ปะโค,เมืองหนองคาย,หนองคาย,17.801,102.716
ชลคราม,ดอนสัก,สุราษฎร์ธานี,9.248,99.605
บ้านกลับ,หนองโดน,สระบุรี,14.730,100.684
นาชำ,เมืองแพร่,แพร่,18.186,100.255
สันทรายงาม,เทิง,เชียงราย,19.717,100.180
โพธิ์สัย,ศรีสมเด็จ,ร้อยเอ็ด,16.096,103.475
ห้วยทราย,แม่ริม,เชียงใหม่,18.967,98.915
ม่วงเตี้ย,วิเศษชัยชาญ,อ่างทอง,14.636,100.323
เมืองสรวง,เมืองสรวง,ร้อยเอ็ด,15.817,103.755
ศรีโคตร,จตุรพักตรพิมาน,ร้อยเอ็ด,15.773,103.566
หลักชัย,ลาดบัวหลวง,พระนครศรีอยุธยา,14.195,100.277
ดงใหญ่,วาปีปทุม,มหาสารคาม,15.898,103.308
สามวาตะวันตก,คลองสามวา,กรุงเทพมหานคร,13.889,100.708
ท่าประจะ,ชะอวด,นครศรีธรรมราช,7.973,99.960
นาฝาย,ภูผาม่าน,ขอนแก่น,16.680,101.871
ควนหนองคว้า,จุฬาภรณ์,นครศรีธรรมราช,8.103,99.935
ลุ่มระวี,จอมพระ,สุรินทร์,15.162,103.602
เสือหึง,เชียรใหญ่,นครศรีธรรมราช,8.189,100.242
มหาสอน,บ้านหมี่,ลพบุรี,15.021,100.484
บางหมาก,กันตัง,ตรัง,7.465,99.554
ฉวาง,ฉวาง,นครศรีธรรมราช,8.397,99.501
ท่าพญา,ปากพนัง,นครศรีธรรมราช,8.267,100.258
บัวทอง,เมืองบุรีรัมย์,บุรีรัมย์,15.058,103.136
ห้วยยอด,ห้วยยอด,ตรัง,7.776,99.632
ควนโนรี,โคกโพธิ์,ปัตตานี,6.719,101.199
หนองสาหร่าย,พนมทวน,กาญจนบุรี,14.067,99.728
โคกตะบอง,ท่ามะกา,กาญจนบุรี,13.839,99.746
รอบเมือง,เมืองชัยภูมิ,ชัยภูมิ,15.846,102.027
บางโขมด,บ้านหมอ,สระบุรี,14.591,100.742
บางขาม,บ้านสร้าง,ปราจีนบุรี,13.893,101.274
สิ,ขุนหาญ,ศรีสะเกษ,14.625,104.436
ท่าบ่อ,ท่าบ่อ,หนองคาย,17.827,102.568
วังยาว,โกสุมพิสัย,มหาสารคาม,16.223,102.928
บ้านเรือ,ภูเวียง,ขอนแก่น,16.676,102.395
เหล่าอ้อย,ร่องคำ,กาฬสินธุ์,16.254,103.708
หนองบัว,ปะคำ,บุรีรัมย์,14.432,102.657
ดงกลาง,เมืองพิจิตร,พิจิตร,16.335,100.363
พระธาตุ,นาดูน,มหาสารคาม,15.697,103.258
เมืองเหนือ,เมืองศรีสะเกษ,ศรีสะเกษ,15.103,104.336
คลองตาคต,โพธาราม,ราชบุรี,13.672,99.854
โพธิ์ตาก,โพธิ์ตาก,หนองคาย,17.846,102.422
สร้อยละคร,ลาดยาว,นครสวรรค์,15.726,99.824
ป่าขะ,บ้านนา,นครนายก,14.297,101.065
เขาพระ,เดิมบางนางบวช,สุพรรณบุรี,14.853,100.095
ภารแอ่น,พยัคฆภูมิพิสัย,มหาสารคาม,15.593,103.258
กระทุ่มแพ้ว,บ้านสร้าง,ปราจีนบุรี,13.891,101.346
โพธิ์เสด็จ,เมืองนครศรีธรรมราช,นครศรีธรรมราช,8.428,99.920
โนนนาจาง,นาคู,กาฬสินธุ์,16.733,103.989
ขุมเงิน,เมืองยโสธร,ยโสธร,15.713,104.194
ปากน้ำ,เมืองระนอง,ระนอง,10.060,98.647
กุดปลาดุก,ชื่นชม,มหาสารคาม,16.588,103.138
สวี,สวี,ชุมพร,10.247,99.081
ลาดหลุมแก้ว,ลาดหลุมแก้ว,ปทุมธานี,14.006,100.410
นาโพธิ์,เมืองร้อยเอ็ด,ร้อยเอ็ด,15.961,103.569
บางบัวทอง,บางบัวทอง,นนทบุรี,13.944,100.390
บ้านไร่,บางกระทุ่ม,พิษณุโลก,16.620,100.253
เจดีย์คำ,เชียงคำ,พะเยา,19.537,100.337
กกกุง,เมืองสรวง,ร้อยเอ็ด,15.770,103.758
ข่อยสูง,ตรอน,อุตรดิตถ์,17.502,99.976
เมืองทุ่ง,สุวรรณภูมิ,ร้อยเอ็ด,15.627,103.850
บึงนคร,ธวัชบุรี,ร้อยเอ็ด,16.072,103.852
ม่วงหัก,พยุหะคีรี,นครสวรรค์,15.389,100.200
ชีน้ำร้าย,อินทร์บุรี,สิงห์บุรี,15.081,100.331
บ้านโพธิ์,เมืองตรัง,ตรัง,7.604,99.627
หนองนางนวล,หนองฉาง,อุทัยธานี,15.340,99.864
ชำนิ,ชำนิ,บุรีรัมย์,14.785,102.810
เฉลียง,ครบุรี,นครราชสีมา,14.489,102.279
บ้านแดง,ตระการพืชผล,อุบลราชธานี,15.658,105.081
เมืองไพร,เสลภูมิ,ร้อยเอ็ด,16.001,103.993
ประทัดบุ,ประโคนชัย,บุรีรัมย์,14.569,102.962
นายาว,พระพุทธบาท,สระบุรี,14.768,100.763
ดอยงาม,พาน,เชียงราย,19.548,99.808
แงง,ปัว,น่าน,19.197,100.849
วังน้ำคู้,เมืองพิษณุโลก,พิษณุโลก,16.652,100.269
คลองเขม้า,เหนือคลอง,กระบี่,8.036,98.976
โนนหัน,ชุมแพ,ขอนแก่น,16.603,102.019
ท่าทราย,เมืองสมุทรสาคร,สมุทรสาคร,13.571,100.266
หนองหลวง,เสลภูมิ,ร้อยเอ็ด,16.148,103.923
ประศุก,อินทร์บุรี,สิงห์บุรี,15.042,100.291
บวกค้าง,สันกำแพง,เชียงใหม่,18.704,99.107
ทุ่งขวาง,พนัสนิคม,ชลบุรี,13.400,101.188
ยกกระบัตร,บ้านแพ้ว,สมุทรสาคร,13.559,100.082
ท่าซอม,หัวไทร,นครศรีธรรมราช,8.146,100.246
น้ำอ้อม,กันทรลักษ์,ศรีสะเกษ,14.660,104.657
บางด้วน,ปะเหลียน,ตรัง,7.350,99.699
โกรกพระ,โกรกพระ,นครสวรรค์,15.559,100.056
สะพานสูง,สะพานสูง,กรุงเทพมหานคร,13.761,100.688
พุกร่าง,พระพุทธบาท,สระบุรี,14.682,100.784
บางละมุง,บางละมุง,ชลบุรี,13.052,100.922
หนองไข่นก,ม่วงสามสิบ,อุบลราชธานี,15.397,104.765
หนองบ่อ,ย่านตาขาว,ตรัง,7.416,99.718
ปะอาว,อุทุมพรพิสัย,ศรีสะเกษ,15.101,104.214
บ้านแก้ง,ดอนตาล,มุกดาหาร,16.410,104.814
เกาะคา,เกาะคา,ลำปาง,18.202,99.372
ศรีภูมิ,กระสัง,บุรีรัมย์,15.027,103.338
โตนด,โนนสูง,นครราชสีมา,15.097,102.293
บ้านเกาะ,เมืองสมุทรสาคร,สมุทรสาคร,13.591,100.247
แม่ตาว,แม่สอด,ตาก,16.681,98.577
หนองปรือ,บางพลี,สมุทรปราการ,13.678,100.750
บางโรง,คลองเขื่อน,ฉะเชิงเทรา,13.824,101.137
คลองกระจง,สวรรคโลก,สุโขทัย,17.239,99.828
บาเระเหนือ,บาเจาะ,นราธิวาส,6.571,101.613
ถลุงเหล็ก,เมืองบุรีรัมย์,บุรีรัมย์,15.116,103.078
ตากแดด,เมืองชุมพร,ชุมพร,10.467,99.153
หนองไฮ,วาปีปทุม,มหาสารคาม,15.885,103.432
ลำภูรา,ห้วยยอด,ตรัง,7.698,99.583
ห้วยทับทัน,ห้วยทับทัน,ศรีสะเกษ,15.065,104.044
ทาทุ่งหลวง,แม่ทา,ลำพูน,18.438,99.030
คลองนกกระทุง,บางเลน,นครปฐม,13.991,100.222
หนองฮะ,สำโรงทาบ,สุรินทร์,15.097,103.911
สระแก้ว,หนองหงส์,บุรีรัมย์,14.828,102.681
คูคำ,ซำสูง,ขอนแก่น,16.508,103.014
ปากน้ำโพ,เมืองนครสวรรค์,นครสวรรค์,15.703,100.128
เขื่อน,โกสุมพิสัย,มหาสารคาม,16.344,103.068
ปอแดง,ชนบท,ขอนแก่น,15.950,102.579
กอลำ,ยะรัง,ปัตตานี,6.673,101.329
หนองบอน,โกสุมพิสัย,มหาสารคาม,16.274,103.018
บ้านหม้อ,ศรีเชียงใหม่,หนองคาย,17.957,102.502
ลำมูล,โนนสูง,นครราชสีมา,15.072,102.308
บ้านสาง,เมืองพะเยา,พะเยา,19.156,99.811
โจดม่วง,ศิลาลาด,ศรีสะเกษ,15.473,104.139
ดอนกรวย,ดำเนินสะดวก,ราชบุรี,13.580,99.971
ผักไหม,ห้วยทับทัน,ศรีสะเกษ,14.947,104.013
ท่าขอนยาง,กันทรวิชัย,มหาสารคาม,16.256,103.275
สระพังลาน,อู่ทอง,สุพรรณบุรี,14.253,99.906
เกาะใหญ่,กระแสสินธุ์,สงขลา,7.552,100.287
ทับกฤช,ชุมแสง,นครสวรรค์,15.770,100.233
คลองนารายณ์,เมืองจันทบุรี,จันทบุรี,12.574,102.166
ฆะมัง,ชุมแสง,นครสวรรค์,15.948,100.312
กุดน้ำใส,พนมไพร,ร้อยเอ็ด,15.762,104.065
สิงหนาท,ลาดบัวหลวง,พระนครศรีอยุธยา,14.132,100.423
ชมพู,เมืองลำปาง,ลำปาง,18.254,99.479
ขี้เหล็ก,แม่ริม,เชียงใหม่,19.011,98.942
ท่าไข่,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,13.736,101.060
ลาดใหญ่,เมืองสมุทรสงคราม,สมุทรสงคราม,13.451,100.037
เขาวง,พระพุทธบาท,สระบุรี,14.679,100.830
ทุ่งต่อ,ห้วยยอด,ตรัง,7.759,99.575
คลองโยง,พุทธมณฑล,นครปฐม,13.862,100.281
ปราสาท,ขุขันธ์,ศรีสะเกษ,14.727,104.016
ตะมะยูง,ศรีสาคร,นราธิวาส,6.282,101.515
บางใหญ่,บางปลาม้า,สุพรรณบุรี,14.300,100.102
คลองพิไกร,พรานกระต่าย,กำแพงเพชร,16.666,99.742
ดอกคำใต้,ดอกคำใต้,พะเยา,19.152,99.955
หาดนางแก้ว,กบินทร์บุรี,ปราจีนบุรี,13.963,101.642
โพธิ์,เมืองศรีสะเกษ,ศรีสะเกษ,15.124,104.394
สักหลง,หล่มสัก,เพชรบูรณ์,16.844,101.275
ชากโดน,แกลง,ระยอง,12.700,101.604
นาเรียง,พรหมคีรี,นครศรีธรรมราช,8.504,99.866
ลิ้นฟ้า,จตุรพักตรพิมาน,ร้อยเอ็ด,15.756,103.434
นาเกตุ,โคกโพธิ์,ปัตตานี,6.744,101.155
ดอนเจดีย์,พนมทวน,กาญจนบุรี,14.036,99.674
หนองกระทุ่ม,ปากท่อ,ราชบุรี,13.404,99.779
หนองบัว,ศรีนคร,สุโขทัย,17.285,99.958
บ้านค้อ,บ้านผือ,อุดรธานี,17.750,102.446
สระแจง,บางระจัน,สิงห์บุรี,14.873,100.235
หัวงัว,ยางตลาด,กาฬสินธุ์,16.337,103.446
เกาะสาหร่าย,เมืองสตูล,สตูล,6.558,99.211
ห้วยกรดพัฒนา,สรรคบุรี,ชัยนาท,15.074,100.228
แพงใหญ่,เหล่าเสือโก้ก,อุบลราชธานี,15.395,104.881
โพธิ์ไทร,ดอนตาล,มุกดาหาร,16.376,104.862
โคกแย้,หนองแค,สระบุรี,14.387,100.928
โพธิ์ศรี,ปรางค์กู่,ศรีสะเกษ,14.780,104.082
วังโตนด,นายายอาม,จันทบุรี,12.701,101.933
บางแขม,เมืองนครปฐม,นครปฐม,13.754,100.034
คูบางหลวง,ลาดหลุมแก้ว,ปทุมธานี,14.047,100.467
ศรีสัชนาลัย,ศรีสัชนาลัย,สุโขทัย,17.409,99.778
โนนผึ้ง,วารินชำราบ,อุบลราชธานี,15.162,104.823
ศรีโนนงาม,ศรีรัตนะ,ศรีสะเกษ,14.806,104.419
นาพิน,ตระการพืชผล,อุบลราชธานี,15.562,105.034
น้ำบ่อหลวง,สันป่าตอง,เชียงใหม่,18.674,98.841
เขาแดง,กุยบุรี,ประจวบคีรีขันธ์,12.159,99.980
พิมาย,ปรางค์กู่,ศรีสะเกษ,14.835,104.032
วังพัฒนา,บางซ้าย,พระนครศรีอยุธยา,14.272,100.296
ตาขัน,บ้านค่าย,ระยอง,12.735,101.321
พระแท่น,ท่ามะกา,กาญจนบุรี,14.018,99.792
หัวหนอง,บ้านไผ่,ขอนแก่น,16.040,102.697
ด่านแม่คำมัน,ลับแล,อุตรดิตถ์,17.547,99.963
ปราสาททนง,ปราสาท,สุรินทร์,14.652,103.356
บางแก้ว,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,13.765,101.094
อุทัย,อุทัย,พระนครศรีอยุธยา,14.373,100.655
ตะโละกาโปร์,ยะหริ่ง,ปัตตานี,6.872,101.430
ดงกระทงยาม,ศรีมหาโพธิ,ปราจีนบุรี,13.958,101.426
เชิงทะเล,ถลาง,ภูเก็ต,7.996,98.309
หนองกะปุ,บ้านลาด,เพชรบุรี,13.065,99.786
ไม้ดัด,บางระจัน,สิงห์บุรี,14.858,100.345
ท่าเสา,เมืองอุตรดิตถ์,อุตรดิตถ์,17.652,100.086
บางปลา,บางเลน,นครปฐม,13.970,100.158
ท่าข้าม,พนัสนิคม,ชลบุรี,13.559,101.177
มะกอก,ป่าซาง,ลำพูน,18.449,98.923
นาภู,ยางสีสุราช,มหาสารคาม,15.682,103.032
ด่านคล้า,โนนสูง,นครราชสีมา,15.152,102.212
ส้มป่อย,โนนดินแดง,บุรีรัมย์,14.346,102.764
อรัญญิก,เมืองพิษณุโลก,พิษณุโลก,16.800,100.288
กายูบอเกาะ,รามัน,ยะลา,6.476,101.413
วัดไทรย์,เมืองนครสวรรค์,นครสวรรค์,15.735,100.080
หนองไขว่,หล่มสัก,เพชรบูรณ์,16.757,101.220
นาชาว,เมืองน่าน,น่าน,18.708,100.682
สบสาย,สูงเม่น,แพร่,18.102,100.023
หนองปลาหมอ,โนนศิลา,ขอนแก่น,15.989,102.635
สาวร้องไห้,วิเศษชัยชาญ,อ่างทอง,14.546,100.223
บ่อแร่,วัดสิงห์,ชัยนาท,15.283,99.958
สวนแตง,เมืองสุพรรณบุรี,สุพรรณบุรี,14.436,100.018
นาสาร,พระพรหม,นครศรีธรรมราช,8.370,99.920
กฤษณา,บางปลาม้า,สุพรรณบุรี,14.290,100.178
งิ้ว,ปักธงชัย,นครราชสีมา,14.666,101.997
ปากกาง,ลอง,แพร่,18.042,99.811
วังน้ำเย็น,แสวงหา,อ่างทอง,14.738,100.221
ตูม,ศรีรัตนะ,ศรีสะเกษ,14.866,104.488
โคกเพชร,ขุขันธ์,ศรีสะเกษ,14.804,104.149
นาหมื่นศรี,นาโยง,ตรัง,7.609,99.699
ห้วยถั่วใต้,หนองบัว,นครสวรรค์,15.837,100.464
รัตนวารี,หัวตะพาน,อำนาจเจริญ,15.723,104.513
โคกมะขาม,ประโคนชัย,บุรีรัมย์,14.602,103.129
โนนข่า,พล,ขอนแก่น,15.764,102.591
สนวน,ห้วยราช,บุรีรัมย์,14.933,103.182
บ้านตุ่น,เมืองพะเยา,พะเยา,19.141,99.823
ปากล่อ,โคกโพธิ์,ปัตตานี,6.620,101.187
ลำต้อยติ่ง,หนองจอก,กรุงเทพมหานคร,13.781,100.877
ศรีสำราญ,วังหิน,ศรีสะเกษ,14.909,104.155
ชานุวรรณ,พนมไพร,ร้อยเอ็ด,15.803,104.088
หนองปลิง,เมืองมหาสารคาม,มหาสารคาม,16.070,103.313
กระสัง,เมืองบุรีรัมย์,บุรีรัมย์,14.974,103.047
ศาลาขาว,เมืองสุพรรณบุรี,สุพรรณบุรี,14.433,99.973
หน่อม,อาจสามารถ,ร้อยเอ็ด,15.808,103.955
หนองหมี,ราษีไศล,ศรีสะเกษ,15.271,104.293
แวงใหญ่,แวงใหญ่,ขอนแก่น,15.954,102.533
